,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
2619,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,4390.350000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2620,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4396.350000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2621,,WTIV,Release Nacelle,3.0,50000.0,ACTION,4399.350000000003,TurbineInstallation,,,,,,,,,
2622,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4400.350000000003,TurbineInstallation,,,,,,,,,
2623,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4401.850000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2624,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4407.850000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2625,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4408.850000000003,TurbineInstallation,,,,,,,,,
2626,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4409.850000000003,TurbineInstallation,,,,,,,,,
2627,,WTIV,Lift Blade,1.5,25000.0,ACTION,4411.350000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2628,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4414.850000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2629,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4415.850000000003,TurbineInstallation,,,,,,,,,
2630,,WTIV,Lift Blade,1.5,25000.0,ACTION,4417.350000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2631,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4420.850000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2632,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4421.850000000003,TurbineInstallation,,,,,,,,,
2633,,WTIV,Lift Blade,1.5,25000.0,ACTION,4423.350000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2634,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4426.850000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2635,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,4427.2833333333365,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2636,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4429.2833333333365,TurbineInstallation,,,,,,,,,
2637,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,4429.71666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2638,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4432.71666666667,TurbineInstallation,,,,,,,,,
2639,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,4433.46666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2640,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4439.46666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2641,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4442.46666666667,TurbineInstallation,,,,,,,,,
2642,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,4443.96666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2643,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4449.96666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2645,,WTIV,Release Nacelle,3.0,50000.0,ACTION,4452.96666666667,TurbineInstallation,,,,,,,,,
2646,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4453.96666666667,TurbineInstallation,,,,,,,,,
2647,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4455.46666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2648,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4461.46666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2649,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4462.46666666667,TurbineInstallation,,,,,,,,,
2651,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4463.46666666667,TurbineInstallation,,,,,,,,,
2652,,WTIV,Lift Blade,1.5,25000.0,ACTION,4464.96666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2653,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4468.46666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2655,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4469.46666666667,TurbineInstallation,,,,,,,,,
2656,,WTIV,Lift Blade,1.5,25000.0,ACTION,4470.96666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2657,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4474.46666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2658,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4475.46666666667,TurbineInstallation,,,,,,,,,
